UserID,No_of_days_Visited_7_Days,No_Of_Products_Viewed_15_Days,User_Vintage,Most_Viewed_product_15_Days,Most_Active_OS,Recently_Viewed_Product,Pageloads_last_7_days,Clicks_last_7_days
U100103,0,1,11.0,Pr100444,windows,P12345,0,0
U100104,0,0,17.0,Product101,windows,P12345,0,0
U100105,26,26,7.0,Product101,windows,P12345,15,11
U100109,3,3,1.0,Pr102998,android,P12345,2,1
U100110,5,11,21.0,Pr101366,windows,P12345,3,2
U100111,0,0,0.0,Product101,windows,P12345,0,0
U100112,3,3,5.0,Pr101529,android,P12345,3,0
U100113,11,11,4.0,Product101,windows,P12345,4,7
U100115,36,48,15.0,Product101,mac os x,P12345,5,31
U100116,0,0,21.0,Product101,mac os x,P12345,0,0
U100117,0,0,20.0,Product101,android,P12345,0,0
U100118,31,40,14.0,Product101,windows,P12345,19,12
U100119,1,1,16.0,Pr100146,windows,P12345,1,0
U100122,0,0,20.0,Product101,windows,P12345,0,0
U100123,1,1,4.0,Pr100876,mac os x,P12345,1,0
U100125,2,13,20.0,Pr102519,android,P12345,2,0
U100126,1,2,9.0,Pr102602,android,P12345,1,0
U100127,0,0,0.0,Product101,ios,P12345,0,0
U100129,2,8,11.0,Pr100137,mac os x,P12345,1,1
U100130,2,2,6.0,Pr100102,windows,P12345,2,0
U100131,0,0,6873.0,Product101,android,P12345,0,0
U100132,6,7,18.0,Pr100340,windows,P12345,4,2
U100134,4,20,21.0,Pr102602,windows,P12345,4,0
U100136,73,139,16.0,Product101,windows,P12345,28,45
U100137,0,6,12.0,Pr100469,windows,P12345,0,0
U100138,15,17,18.0,Pr100908,windows,P12345,9,6
U100139,6,13,15.0,Product101,windows,P12345,4,2
U100141,13,20,21.0,Pr101884,windows,P12345,5,8
U100142,7,7,6.0,Pr100162,windows,P12345,4,3
U100144,0,7,14.0,Pr100935,windows,P12345,0,0
U100145,40,77,20.0,Product101,windows,P12345,13,27
U100146,0,5,8.0,Product101,android,P12345,0,0
U100149,2,2,3.0,Pr100500,android,P12345,1,1
U100150,3,3,7.0,Pr102189,android,P12345,3,0
U100151,13,26,19.0,Product101,windows,P12345,6,7
U100152,16,16,20.0,Pr100758,windows,P12345,5,11
U100156,2,2,6.0,Pr100010,android,P12345,1,1
U100157,2,2,5.0,Pr100355,windows,P12345,1,1
U100158,12,41,4087.0,Pr105824,windows,P12345,8,4
U100159,1,3,14.0,Product101,android,P12345,1,0
U100161,1,7,10.0,Pr100279,windows,P12345,1,0
U100162,17,17,20.0,Product101,mac os x,P12345,10,7
U100163,22,62,19.0,Product101,mac os x,P12345,12,10
U100164,122,182,21.0,Product101,windows,P12345,62,60
U100165,0,0,20.0,Product101,android,P12345,0,0
U100166,1,12,16.0,Product101,android,P12345,1,0
U100167,36,75,5599.0,Product101,windows,P12345,22,14
U100168,7,11,14.0,Product101,windows,P12345,5,2
U100169,7,9,21.0,Pr100654,windows,P12345,3,4
U100170,1,1,17.0,Pr100279,windows,P12345,1,0
U100171,7,7,3.0,Pr100470,android,P12345,5,2
U100173,4,14,17.0,Product101,windows,P12345,2,2
U100174,13,15,692.0,Pr100166,windows,P12345,10,3
U100175,10,10,21.0,Pr100268,windows,P12345,2,8
U100176,40,55,17.0,Product101,linux,P12345,8,32
U100177,13,13,2.0,Product101,windows,P12345,10,3
U100178,3,3,20.0,Pr100039,android,P12345,2,1
U100179,20,20,3.0,Product101,windows,P12345,13,7
U100180,18,33,3920.0,Product101,windows,P12345,10,8
U100181,17,31,21.0,Product101,mac os x,P12345,17,0
U100182,0,0,17.0,Product101,android,P12345,0,0
U100183,2,2,1.0,Pr100500,windows,P12345,1,1
U100184,0,10,17.0,Pr100513,windows,P12345,0,0
U100185,1,1,6.0,Pr100010,android,P12345,1,0
U100186,0,7,15.0,Pr100273,android,P12345,0,0
U100187,24,24,21.0,Product101,android,P12345,4,20
U100188,19,26,21.0,Product101,windows,P12345,14,5
U100190,1,1,21.0,Pr100279,windows,P12345,1,0
U100191,8,11,20.0,Pr102519,android,P12345,7,1
U100192,0,0,19.0,Product101,windows,P12345,0,0
U100193,26,44,19.0,Product101,windows,P12345,8,18
U100194,1,2,10.0,Pr101111,android,P12345,1,0
U100197,0,2,10.0,Product101,mac os x,P12345,0,0
U100198,6,9,13.0,Product101,windows,P12345,2,4
U100200,0,11,21.0,Pr100298,windows,P12345,0,0
U100203,2,2,16.0,Product101,mac os x,P12345,2,0
U100204,6,6,19.0,Product101,windows,P12345,2,4
U100205,8,8,4.0,Pr100023,windows,P12345,4,4
U100207,2,15,19.0,Pr101330,windows,P12345,2,0
U100208,6,25,4676.0,Product101,mac os x,P12345,3,3
U100209,8,8,21.0,Product101,windows,P12345,7,1
U100210,7,389,6752.0,Product101,windows,P12345,4,3
U100211,1,2,20.0,Pr100320,android,P12345,0,1
U100213,1,2,20.0,Pr100374,windows,P12345,1,0
U100214,3,3,2.0,Pr100359,windows,P12345,2,1
U100215,0,0,5332.0,Product101,linux,P12345,0,0
U100216,0,1,18.0,Product101,mac os x,P12345,0,0
U100217,7,13,14.0,Product101,mac os x,P12345,1,6
U100218,0,1,10.0,Pr105462,android,P12345,0,0
U100219,3,4,18.0,Product101,windows,P12345,2,1
U100220,141,148,5968.0,Product101,windows,P12345,27,114
U100221,6,8,13.0,Pr100184,android,P12345,6,0
U100223,77,84,8.0,Pr100745,windows,P12345,5,72
U100224,1,1,2.0,Pr100039,android,P12345,1,0
U100225,0,4,8.0,Pr100432,mac os x,P12345,0,0
U100226,5,5,4.0,Pr100591,windows,P12345,2,3
U100228,1,4,12.0,Pr102602,android,P12345,1,0
U100229,1,1,21.0,Pr101273,android,P12345,1,0
U100231,44,45,21.0,Product101,windows,P12345,11,33
U100232,5,5,3.0,Pr101515,windows,P12345,2,3
U100233,0,3,9.0,Pr101289,windows,P12345,0,0
U100234,6,6,6.0,Pr100113,windows,P12345,4,2
U100235,4,4,5.0,Pr100438,windows,P12345,3,1
U100236,0,1,9.0,Pr100258,android,P12345,0,0
U100238,0,5,12.0,Pr100102,windows,P12345,0,0
U100239,3,8,14.0,Product101,linux,P12345,3,0
U100241,0,2,19.0,Pr100166,android,P12345,0,0
U100242,16,16,19.0,Product101,android,P12345,7,9
U100243,44,73,4987.0,Pr103658,windows,P12345,29,15
U100245,38,39,1128.0,Product101,windows,P12345,21,17
U100246,3,3,5.0,Product101,windows,P12345,3,0
U100248,4,5,19.0,Product101,android,P12345,4,0
U100249,2,2,7.0,Pr100788,android,P12345,1,1
U100250,2,50,21.0,Product101,windows,P12345,0,2
U100251,2,2,20.0,Pr100118,windows,P12345,2,0
U100255,18,27,21.0,Product101,windows,P12345,13,5
U100256,0,0,19.0,Product101,android,P12345,0,0
U100257,3,3,4.0,Pr100401,windows,P12345,1,2
U100258,5,10,20.0,Pr100551,windows,P12345,3,2
U100259,14,32,21.0,Product101,windows,P12345,13,1
U100260,2,2,21.0,Product101,android,P12345,2,0
U100261,0,12,15.0,Product101,windows,P12345,0,0
U100262,1,1,21.0,Product101,windows,P12345,1,0
U100263,1,1,20.0,Product101,windows,P12345,0,1
U100264,5,8,17.0,Pr101637,android,P12345,5,0
U100265,1,16,1143.0,Pr100102,android,P12345,1,0
U100266,3,10,20.0,Product101,windows,P12345,3,0
U100267,950,959,8179.0,Product101,windows,P12345,185,765
U100268,25,28,20.0,Pr101884,windows,P12345,17,8
U100269,2,2,2.0,Pr100997,ios,P12345,1,1
U100270,1,2,11.0,Pr100279,windows,P12345,1,0
U100271,0,1,13.0,Pr100226,android,P12345,0,0
U100272,5,14,19.0,Pr100498,android,P12345,2,3
U100273,9,34,13.0,Product101,windows,P12345,4,5
U100274,24,36,17.0,Product101,windows,P12345,18,6
U100275,2,3,9.0,Pr101680,android,P12345,1,1
U100276,0,62,4136.0,Product101,windows,P12345,0,0
U100277,0,0,21.0,Product101,windows,P12345,0,0
U100278,4,4,21.0,Pr100945,android,P12345,4,0
U100279,56,58,44.0,Pr101655,windows,P12345,14,42
U100280,0,0,20.0,Product101,windows,P12345,0,0
U100281,0,1,12.0,Pr100720,android,P12345,0,0
U100282,0,5,20.0,Product101,windows,P12345,0,0
U100283,0,0,0.0,Product101,windows,P12345,0,0
U100284,1,4,8.0,Pr100073,android,P12345,1,0
U100286,0,1,13.0,Product101,linux,P12345,0,0
U100288,1,1,4664.0,Pr100039,android,P12345,1,0
U100290,9,14,1745.0,Pr100137,mac os x,P12345,0,9
U100291,4,7,11.0,Pr100679,windows,P12345,3,1
U100292,5,9,13.0,Product101,windows,P12345,3,2
U100293,4,34,1622.0,Product101,windows,P12345,2,2
U100294,0,10,17.0,Product101,windows,P12345,0,0
U100295,2,13,21.0,Product101,windows,P12345,1,1
U100297,10,19,10.0,Product101,windows,P12345,9,1
U100298,19,19,4.0,Product101,windows,P12345,2,17
U100300,0,2,11.0,Pr101058,android,P12345,0,0
U100301,20,20,6932.0,Pr103280,windows,P12345,10,10
U100302,65,84,8222.0,Product101,mac os x,P12345,39,26
U100303,1,1,21.0,Product101,windows,P12345,1,0
U100304,38,38,247.0,Pr100501,mac os x,P12345,11,27
U100305,2,2,21.0,Pr100308,windows,P12345,2,0
U100306,2,2,1.0,Pr100000,mac os x,P12345,2,0
U100308,0,0,0.0,Product101,mac os x,P12345,0,0
U100309,28,28,20.0,Product101,android,P12345,11,17
U100310,135,170,5059.0,Product101,windows,P12345,26,109
U100311,0,4,10.0,Pr100340,mac os x,P12345,0,0
U100313,0,4,9.0,Pr101293,windows,P12345,0,0
U100315,9,15,18.0,Pr101477,windows,P12345,5,4
U100316,23,37,19.0,Pr100692,windows,P12345,10,13
U100317,0,1,11.0,Pr100166,windows,P12345,0,0
U100318,5,9,21.0,Pr102518,windows,P12345,5,0
U100319,3,11,11.0,Pr100734,windows,P12345,3,0
U100321,2,17,21.0,Product101,windows,P12345,1,1
U100323,6,13,21.0,Pr101483,windows,P12345,4,2
U100324,2,2,1.0,Pr100401,android,P12345,1,1
U100328,2,2,19.0,Pr100430,android,P12345,2,0
U100329,13,13,7.0,Pr101135,mac os x,P12345,4,9
U100330,0,2,8.0,Pr100020,windows,P12345,0,0
U100331,2,2,3.0,Pr100039,android,P12345,1,1
U100333,0,2,20.0,Pr100069,windows,P12345,0,0
U100334,3,4,20.0,Pr102194,windows,P12345,1,2
U100336,0,9,12.0,Pr100017,windows,P12345,0,0
U100337,2,30,19.0,Product101,windows,P12345,1,1
U100338,2,3,15.0,Product101,android,P12345,2,0
U100340,0,0,0.0,Product101,windows,P12345,0,0
U100341,1,7,20.0,Pr101249,windows,P12345,1,0
U100342,0,11,10.0,Product101,windows,P12345,0,0
U100343,2,14,18.0,Product101,windows,P12345,1,1
U100344,0,1,14.0,Pr100017,windows,P12345,0,0
U100345,1,1,6.0,Product101,windows,P12345,0,1
U100346,5,7,19.0,Pr101761,windows,P12345,5,0
U100347,6802,10706,8833.0,Product101,windows,P12345,1237,5565
U100349,4,4,3.0,Pr100438,windows,P12345,3,1
U100351,168,198,7900.0,Product101,windows,P12345,39,129
U100352,0,0,21.0,Product101,windows,P12345,0,0
U100353,7,19,9.0,Product101,windows,P12345,3,4
U100354,106,148,19.0,Product101,windows,P12345,44,62
U100355,3,3,2.0,Pr100676,android,P12345,3,0
U100356,0,0,21.0,Product101,android,P12345,0,0
U100358,3,7,21.0,Product101,android,P12345,3,0
U100359,2,2,5.0,Pr101422,windows,P12345,1,1
U100360,2,3,11.0,Pr100938,android,P12345,2,0
U100362,0,2,15.0,Pr100753,windows,P12345,0,0
U100363,2,2,6.0,Pr100258,android,P12345,2,0
U100364,0,2,14.0,Pr100152,windows,P12345,0,0
U100365,13,13,16.0,Product101,windows,P12345,8,5
U100366,2,6,21.0,Product101,windows,P12345,2,0
U100367,4,24,19.0,Product101,windows,P12345,4,0
U100368,0,0,19.0,Product101,windows,P12345,0,0
U100369,0,18,20.0,Pr101063,windows,P12345,0,0
U100370,5,7,15.0,Product101,windows,P12345,5,0
U100371,0,1,8.0,Product101,android,P12345,0,0
U100372,1,1,21.0,Pr100676,android,P12345,1,0
U100374,33,51,1329.0,Product101,windows,P12345,33,0
U100375,1,1,19.0,Pr100366,windows,P12345,1,0
U100376,1,1,3.0,Pr100152,windows,P12345,1,0
U100377,29,73,174.0,Product101,windows,P12345,9,20
U100378,1,1,6.0,Pr100044,android,P12345,1,0
U100379,2,5,18.0,Pr100739,android,P12345,0,2
U100380,6,6,5.0,Product101,android,P12345,6,0
U100381,145,150,8831.0,Product101,windows,P12345,34,111
U100382,72,226,21.0,Product101,windows,P12345,27,45
U100383,12,16,21.0,Product101,android,P12345,11,1
U100384,0,129,7505.0,Product101,windows,P12345,0,0
U100386,2,2,19.0,Pr101058,windows,P12345,2,0
U100387,13,31,5134.0,Product101,mac os x,P12345,8,5
U100388,5,7,19.0,Pr100986,android,P12345,5,0
U100389,1,3,13.0,Pr100654,linux,P12345,1,0
U100390,44,67,15.0,Product101,windows,P12345,21,23
U100391,12,12,6.0,Pr100200,windows,P12345,7,5
U100394,8,18,21.0,Product101,ubuntu,P12345,5,3
U100396,3,7,16.0,Pr101062,windows,P12345,3,0
U100397,0,0,19.0,Product101,windows,P12345,0,0
U100398,47,62,4727.0,Product101,windows,P12345,21,26
U100399,3,3,7.0,Pr100369,android,P12345,2,1
U100400,2,2,6.0,Pr100036,windows,P12345,2,0
U100401,0,3,20.0,Pr100822,windows,P12345,0,0
U100402,1,1,6.0,Pr100612,linux,P12345,1,0
U100403,0,0,0.0,Product101,windows,P12345,0,0
U100405,19,22,21.0,Product101,windows,P12345,16,3
U100406,5,5,21.0,Pr100978,android,P12345,4,1
U100407,5,20,13.0,Product101,windows,P12345,2,3
U100408,0,1,8.0,Pr100550,windows,P12345,0,0
U100409,0,15,19.0,Pr100102,windows,P12345,0,0
U100410,243,703,5533.0,Product101,windows,P12345,60,183
U100411,15,35,21.0,Product101,windows,P12345,4,11
U100412,1,2,17.0,Product101,windows,P12345,1,0
U100413,15,19,21.0,Pr101760,android,P12345,9,6
U100414,3,7,20.0,Pr101616,android,P12345,2,1
U100415,13,13,6.0,Pr100551,windows,P12345,2,11
U100416,0,0,0.0,Product101,android,P12345,0,0
U100417,4,4,5.0,Pr100350,windows,P12345,4,0
U100418,4,15,21.0,Product101,windows,P12345,4,0
U100420,7,15,21.0,Product101,windows,P12345,7,0
U100421,1,1,18.0,Pr100027,android,P12345,1,0
U100422,1,1,18.0,Pr100560,windows,P12345,1,0
U100423,30,87,21.0,Product101,windows,P12345,16,14
U100425,15,73,20.0,Product101,windows,P12345,7,8
U100427,2,4,20.0,Pr100833,mac os x,P12345,1,1
U100428,3,3,3.0,Pr100200,android,P12345,1,2
U100429,0,2,20.0,Product101,windows,P12345,0,0
U100430,4,4,4.0,Product101,windows,P12345,2,2
U100431,0,0,19.0,Product101,windows,P12345,0,0
U100433,3,4,5702.0,Pr101686,android,P12345,3,0
U100434,37,39,3500.0,Product101,windows,P12345,12,25
U100435,0,0,20.0,Product101,android,P12345,0,0
U100436,6,7,14.0,Product101,android,P12345,6,0
U100439,6,14,21.0,Product101,ubuntu,P12345,6,0
U100440,2,2,6.0,Pr101211,ubuntu,P12345,1,1
U100441,0,4,12.0,Pr100396,windows,P12345,0,0
U100443,28,41,18.0,Product101,windows,P12345,16,12
U100445,0,3,11.0,Product101,android,P12345,0,0
U100446,1,3,15.0,Pr102519,android,P12345,1,0
U100447,7,10,15.0,Product101,windows,P12345,7,0
U100449,19,20,20.0,Pr101293,windows,P12345,6,13
U100450,15,15,18.0,Pr100712,windows,P12345,9,6
U100451,0,1,12.0,Pr100106,windows,P12345,0,0
U100452,2,2,6.0,Pr101267,android,P12345,2,0
U100453,5,21,15.0,Pr100390,linux,P12345,2,3
U100454,31,193,6602.0,Product101,windows,P12345,16,15
U100455,4,7,10.0,Product101,android,P12345,3,1
U100457,44,57,21.0,Product101,windows,P12345,4,40
U100458,1,1,3.0,Pr100321,android,P12345,1,0
U100459,4,6,10.0,Pr100258,android,P12345,3,1
U100460,29,248,2963.0,Product101,windows,P12345,15,14
U100461,10,10,6.0,Product101,windows,P12345,8,2
U100462,0,0,16.0,Product101,android,P12345,0,0
U100463,11,12,17.0,Pr103710,windows,P12345,2,9
U100464,0,116,19.0,Product101,windows,P12345,0,0
U100465,19,38,21.0,Product101,windows,P12345,13,6
U100466,1,2,21.0,Pr101609,android,P12345,1,0
U100467,5,8,17.0,Product101,windows,P12345,2,3
U100469,0,0,19.0,Product101,windows,P12345,0,0
U100470,0,1,11.0,Product101,windows,P12345,0,0
U100471,12,39,6690.0,Pr101271,windows,P12345,10,2
U100472,1,1,20.0,Pr100054,mac os x,P12345,1,0
U100473,12,18,19.0,Pr100788,windows,P12345,3,9
U100474,6,16,17.0,Pr100483,windows,P12345,2,4
U100475,7,12,21.0,Product101,windows,P12345,7,0
U100476,1,4,21.0,Pr101637,android,P12345,1,0
U100477,2,9,12.0,Pr101474,windows,P12345,1,1
U100478,3,4,2920.0,Product101,windows,P12345,3,0
U100480,16,16,6.0,Pr107155,windows,P12345,12,4
U100482,0,0,20.0,Product101,windows,P12345,0,0
U100483,0,10,19.0,Pr110610,windows,P12345,0,0
U100485,0,49,14.0,Product101,windows,P12345,0,0
U100486,0,1,13.0,Pr100166,windows,P12345,0,0
U100487,11,11,2.0,Pr100232,windows,P12345,4,7
U100489,0,5,6265.0,Pr100792,windows,P12345,0,0
U100490,1,3,16.0,Pr100054,linux,P12345,1,0
U100492,64,89,5661.0,Product101,windows,P12345,22,42
U100493,0,0,17.0,Product101,windows,P12345,0,0
U100494,15,17,10.0,Pr100522,mac os x,P12345,3,12
U100495,0,4,21.0,Product101,android,P12345,0,0
U100496,22,23,9.0,Pr100758,windows,P12345,6,16
U100497,0,1,15.0,Pr101421,android,P12345,0,0
U100498,0,0,21.0,Product101,windows,P12345,0,0
U100499,2521,3730,8655.0,Product101,windows,P12345,492,2029
U100500,28,28,1.0,Pr100673,android,P12345,12,16
U100501,7,66,16.0,Product101,windows,P12345,4,3
U100502,0,2,15.0,Pr100934,windows,P12345,0,0
U100503,1024,1024,8563.0,Product101,windows,P12345,187,837
U100504,13,17,9.0,Pr101111,windows,P12345,8,5
U100506,4,4,5.0,Product101,android,P12345,3,1
U100507,9,9,3.0,Pr100962,windows,P12345,4,5
U100508,1,1,1.0,Product101,android,P12345,0,1
U100509,26,26,3.0,Pr102018,windows,P12345,6,20
U100510,0,4,11.0,Product101,android,P12345,0,0
U100511,0,1,14.0,Product101,mac os x,P12345,0,0
U100512,0,0,18.0,Product101,windows,P12345,0,0
U100513,0,1,18.0,Pr100348,windows,P12345,0,0
U100514,0,1,13.0,Pr100324,android,P12345,0,0
U100515,0,3,20.0,Product101,windows,P12345,0,0
U100516,10,12,18.0,Product101,windows,P12345,8,2
U100517,4,26,16.0,Pr101501,windows,P12345,4,0
U100518,0,0,21.0,Product101,windows,P12345,0,0
U100519,5,5,4429.0,Pr100417,windows,P12345,2,3
U100523,2,2,5.0,Product101,windows,P12345,0,2
U100524,1,1,3.0,Pr100872,android,P12345,1,0
U100525,0,0,18.0,Product101,windows,P12345,0,0
U100526,2,2,8597.0,Product101,mac os x,P12345,2,0
U100527,7,32,16.0,Product101,windows,P12345,4,3
U100528,1,4,15.0,Product101,android,P12345,1,0
U100529,0,1,21.0,Product101,android,P12345,0,0
U100530,9,10,15.0,Pr100352,android,P12345,5,4
U100531,1,1,1.0,Pr100108,windows,P12345,1,0
U100533,6,9,19.0,Product101,linux,P12345,6,0
U100535,0,3,16.0,Pr100850,mac os x,P12345,0,0
U100536,2,2,21.0,Pr100102,android,P12345,2,0
U100537,0,0,17.0,Product101,windows,P12345,0,0
U100539,0,0,21.0,Product101,windows,P12345,0,0
U100541,1,2,13.0,Pr101724,windows,P12345,0,1
U100542,21,21,19.0,Product101,windows,P12345,16,5
U100543,3,8,13.0,Product101,windows,P12345,0,3
U100544,1,1,7.0,Pr100613,windows,P12345,1,0
U100545,2,2,21.0,Pr100986,android,P12345,2,0
U100548,0,23,12.0,Pr100724,windows,P12345,0,0
U100549,3,3,21.0,Pr101320,android,P12345,3,0
U100550,7,18,21.0,Product101,android,P12345,7,0
U100552,0,1,8.0,Pr100166,android,P12345,0,0
U100553,8,9,21.0,Pr101923,windows,P12345,4,4
U100554,5,5,2.0,Pr100962,android,P12345,3,2
U100555,3,6,11.0,Pr101039,android,P12345,3,0
U100556,4,4,18.0,Pr100102,android,P12345,1,3
U100558,19,21,10.0,Product101,windows,P12345,6,13
U100559,3,4,16.0,Pr100417,windows,P12345,1,2
U100560,2,2,18.0,Pr101735,windows,P12345,2,0
U100561,41,71,21.0,Product101,windows,P12345,18,23
U100562,5,5,19.0,Product101,android,P12345,3,2
U100564,3,3,3.0,Pr100206,windows,P12345,2,1
U100565,0,3,8.0,Pr100819,mac os x,P12345,0,0
U100566,24,30,20.0,Product101,windows,P12345,8,16
U100567,0,0,0.0,Product101,windows,P12345,0,0
U100570,32,41,3109.0,Product101,windows,P12345,24,8
U100571,1,3,14.0,Pr100962,android,P12345,1,0
U100572,2,4,20.0,Product101,windows,P12345,1,1
U100573,8,15,21.0,Pr100086,windows,P12345,3,5
U100575,11,23,18.0,Pr101406,windows,P12345,6,5
U100576,0,0,18.0,Product101,windows,P12345,0,0
U100577,0,0,19.0,Product101,android,P12345,0,0
U100578,9,14,21.0,Product101,android,P12345,7,2
U100579,5,5,20.0,Product101,windows,P12345,5,0
U100580,0,3,17.0,Pr100513,windows,P12345,0,0
U100582,0,1,15.0,Pr100250,android,P12345,0,0
U100583,53,59,6203.0,Product101,android,P12345,20,33
U100584,0,1,10.0,Pr100401,android,P12345,0,0
U100586,0,2,14.0,Pr100330,windows,P12345,0,0
U100587,9,15,9.0,Product101,mac os x,P12345,5,4
U100588,5,103,4748.0,Product101,android,P12345,1,4
U100592,41,48,7526.0,Product101,windows,P12345,17,24
U100593,27,45,19.0,Product101,ubuntu,P12345,18,9
U100594,0,0,19.0,Product101,windows,P12345,0,0
U100595,1250,1417,8523.0,Product101,windows,P12345,302,948
U100596,2,2,18.0,Pr100003,windows,P12345,1,1
U100597,2,2,4.0,Product101,windows,P12345,0,2
U100599,4,4,21.0,Pr100560,windows,P12345,2,2
U100600,1,1,6.0,Pr100102,android,P12345,1,0
U100602,1,3,9.0,Pr100013,windows,P12345,0,1
U100603,9,13,20.0,Product101,windows,P12345,7,2
U100606,5,12,12.0,Product101,mac os x,P12345,4,1
U100608,6,6,19.0,Product101,android,P12345,4,2
U100609,0,2,19.0,Pr100263,windows,P12345,0,0
